SGV, Raw, SavitzkyGolay, LeastSquares, Flat, Hamming
123.0,126.254656894,131.327199182,88.9112889693,127.217287778,128.077968435
130.0,140.594466761,132.823332176,89.1638074408,131.095396142,132.635607833
116.0,124.434236334,129.808648444,89.4288147362,131.261691941,133.036725433
118.0,123.597352275,122.063314306,89.7060057801,131.069991146,132.605308509
119.0,121.205726625,121.051769185,89.9950793685,127.203550381,128.03974804
119.0,118.278381068,119.148056778,90.2957381367,125.572594595,123.611902464
119.0,117.630507424,116.715811804,90.6076885273,120.996939805,121.034836431
115.0,111.931080898,112.001728438,90.9306407576,118.471112226,118.750195712
110.0,104.520525601,104.812445409,91.2643087889,114.633018077,115.98905192
105.0,97.9150443494,97.9498044814,91.608410294,109.950272798,111.118040046
99.0,91.2251088737,90.3158392644,91.9626666263,104.496014887,104.560731463
92.0,83.1556560326,85.0054537919,92.3268027882,97.6125512068,97.7072499916
89.0,83.0197681258,81.5263604331,92.7005474008,91.8330325819,90.9285394491
84.0,78.5495535946,79.230022148,93.083632672,86.6442025834,85.334193187
80.0,74.9002106281,73.7434606143,93.4757943667,82.0378236716,81.8755711211
75.0,69.288137626,71.3369436394,93.8767717761,77.7133616091,78.4535425606
75.0,72.4251498156,71.5603356651,94.2863076869,75.5545871742,74.5309831239
73.0,71.1203256017,69.8524951364,94.7041483519,73.1375304369,71.7673846578
67.0,62.2722418119,63.7238380057,95.1300434594,69.8669057388,70.9899425116
63.0,57.5708307021,56.8121713371,95.5637461039,66.3920300551,68.5278254215
58.0,51.7707356002,51.5390644943,96.005012756,62.8256347553,63.0099501294
54.0,48.477625759,34.5654451571,96.4536032334,58.0875502426,57.2555586856
54.0,54.0,99.5823584125,96.9092806713,56.4729793725,53.0584887096
215.0,236.955130834,190.49587049,97.3718114936,91.5037091033,59.9103571813
204.0,234.166109293,250.441876195,97.8409653837,126.858652214,107.359046003
190.0,224.480730425,221.463780001,98.3165152559,161.213176704,187.139321339
169.0,196.862842086,199.117558983,98.7982372268,190.652844217,224.407488055
152.0,175.474047084,175.179454042,99.2859105868,212.671873665,217.659172615
137.0,158.170917759,158.579566404,99.779317772,196.770978159,197.04001415
124.0,146.246945276,146.254797776,100.278244336,179.14512553,176.097827216
111.0,136.228053268,135.468116766,100.782478922,161.662469092,159.220384491
97.0,124.548552863,127.168975075,101.291813235,147.346652078,146.236430653
86.0,116.508681045,112.528806182,101.806042014,135.357774183,135.145678263
69.0,86.8370823299,86.7225703036,102.324963007,120.801424579,123.788963839
53.0,56.6942746315,59.8861565808,102.848376938,102.880166576,108.166825565
48.0,48.5767495011,47.7321954013,103.376087487,85.4756014652,84.9796226286
47.0,47.7423757484,47.8003880192,103.907901257,70.2300953003,62.8830173747
48.0,49.3021533475,48.8384069024,104.443627753,57.2068750274,51.4789228558
47.0,47.6902724458,46.8011942256,104.983079348,49.77303463,48.6079608947
45.0,42.7512983833,44.1807850029,105.526071266,47.1475104334,48.1522244718
47.0,44.7023757351,44.1813130909,106.072421546,46.4263440781,46.6126439309
49.0,47.0833051805,47.2005448351,106.621951024,46.309602322,44.8259947482
51.0,49.5129515805,49.1566682504,107.174483302,46.3941929484,45.262521852
52.0,50.2423838262,50.5520079661,107.729844723,47.0237608894,47.2341834177
54.0,51.6793096604,51.4309374315,108.287864347,48.794049393,49.1390184482
55.0,52.6191551941,52.8327594541,108.848373927,50.3760657735,50.5019284983
57.0,54.7550225412,54.702772053,109.411207876,51.9157583502,51.7303395557
59.0,57.2879641154,57.437471345,109.976203253,53.514809334,53.1856274775
61.0,60.0286213595,59.7480857587,110.543199729,55.4675455115,55.1747884001
62.0,61.0433847037,61.2701902591,111.112039566,57.3378168084,57.5351186354
63.0,61.6715599204,61.2329360176,111.682567592,59.0832817967,59.6247177958
64.0,60.6063879692,61.0026321705,112.254631175,60.2235541852,60.8447884786
